Jugador,Nombre,Posición,Nacionalidad,Edad,Equipo,Valor de Mercado en 01/01/2024,Valor de Mercado Actual,Incremento (%),Incremento (€)
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/937958-1720606123.jpg?lm=1"" width=""50"">",Lamine Yamal,Extremo derecho,España,17,FC Barcelona,"60,00 mill. €","150,00 mill. €","150,00 %","+90,00 mill. €"
"<img src=""data:image/webp;base64,UklGRrYTAABXRUJQVlA4IKoTAADQaACdASriAJsAPslUo0unpKMirJX9sPAZCUAZxiRKwTKqF+MPNiHb3GLNXWuXoGxQ+qZ0+3n9tztwb7L7+r2cs8d/7eb390OgtSqYHlKxR22JsCdWTDU8qh/Rb1uicdtLNtP+RGLglzDXn8Qxi9qPOt4YgTNu+waJgLw8jKt5FzZ9SrMq2g+h+jMPdJta7RlngXwdjfER0vnO/1l6BIb9XvmiuoA5ZmKysrfLkR57yiNCYN/84mG6AAAnf5JX3Pzjp+dnxDPrlnCAGXq3/XGIE+8x/fIZ1x4ABNQp8Lev+7Y1q/FTcDB4TpSrzvdINlitMC0Vd1rB7Dth3EcmnoZXrBUxW5NytUnp7erOtqSfryieVVRSlDUfm/ewmLdI+mPn0dTZ47lzvMUrJnJW0cE0fCqtfbqfWsYWrMthvU97mXgRICc+QfyomQwYz66AZ+0hKOvAM0jhOheUC1g1pZKGPRXDujmoy5QsgCZpGGbor2fJol+E1OAvQESRLC93gpyLntectkSnTHUrMe6RnshFdd7Q8q+tDHwx6A0nW4uaCaJDvHtR0wnmq4DjnQQWAWkTMIc10JttdtdDQCDgQhmq3FcaNWmWuxkokfs7eJWCx+4iReljl+adjOUXBks292KOvpa96F1v8wrVj7T7UJKhj8PpJPbYtUwwuzUzNO/IwvNjh3uaoD3kmKNTXr14MM3VBCZPiZ2KTi9vd6e8FNMzpaYa0ZUklmLNnHYTEF7BLmPRPh/arbxTB7gSDa/cKc/jfl1E52Pym+vMEz099TdeigaAPjqVIqVidTSfupcn1mlJxKhr9DXJvmM/3dQW/VSMuL7BVkxYumIwqCajd+8d5Ljc9Dy3gyNBv687GKNCL5N3tRxtgYRIUuYVtNJwTn2ZIWjS/eW9FtXkb1t1rHxUESS/bjIFOM5v6ITffw7GeSKsKEZOIu+kCa4k5pAA6sCJ08ZhIKw/yAItupCkRcBtyllq8pFEvK9nyRzTT7qbJWtPenKidv2X5OBcX4DDdwuAHVTpzrrLr3fU0nk51gbMyuZvBXO/36TV2x2oXrhuO98sVW8YEb8345WQypb+KFMr+9OwjwFmZ+bxAH5J9qbLvpwvns1xyeA4OS3eVsOAAP7pLtPAt7ol5K12pODGCRCyJOf5dYu//8Wl75QHo/4lYuSdhmWRt4OtN32QxswuYLnHnMf578cqneO5MAsKgSKAJgV98xy+vVkfMUgkqGObuKbw2+0YT1vv12uOBPuKAqtQpxr6ATbKBuShlLm0/34iNRkHoNvHfAkcMpThAFt72EYF9mwuCiOxk1quEsD4u3hw/NRPPkpk5gHHRHQLaOsx71quYemfTsjjuH5wPNxv/0cHW3XM3QxwVxAuvkPuFf/NktsZHWN8fZu8U+Wwc+2UF9IWDhKWxWCtbu1roFKn3nJi4pYumhqAkNbGYvtRk8ME8jvPOF+EDcFY7lJf24UdZjt9QO11Y+ZsoGTDVl3Bf52FM4lQYp+yShfrFVEGpSv2rs8QWhqFLkjZM/ltqbvXQ8Lk7021EDjvS96z5ygrpi0HXswqgauLLJKlO6gEluX9Pt9fH3J1a+2f8qHsVWHKBDS/mPMrcFDNel6NoI2Kw0c5dmA1b4zWDpe0BbSKiuXGTktnhzlNT64qagXfpCjOL9cP3oV0EtBGIr/UVEBZYYnN0bABU1rLFWd56nxD5WJnCMb5WsLL77ZH8kRnltD3NaoGnjvAsn81uL4WaCwxlAsR6gHNLk0VQRPvE7JPGuhg0XmX1cxaSUo1Llu3tAnA/NyBBunrOEOiStFbH5m53udT1NMY8doMhFgvLm+SEcpKx9kBypITMh5+MM5FlBCj5fW9rm6R8S40tlCHtIxet80BQxuK4kPegJVXn7V38N2yy6qmiq13LKRtdcHFpcpIBTKk9X+dPoOd56+/Hq6JVvDo5B1GYMOrOp8mIlG0gN9UX30P15QfW1o3ziPmTaVjze5zyGRgtz/By4PrN2DS0inCPeISWqJIzBxIxU6VmktBLxbpM+h1aEHIWhNXzNdbEZOBnMpglXDs4knRPtJk/3uK86cxEIA0zOGjU9ke1ftth8/BbYuFsJApOS0dCCyRv8wTn9axASUw8HSdFyfRCdPhx6gV69lkeKPoTZ35j8Q6G3X4cXP6WngcgbYg1AY0zm5wlpQcwswec6zu1Im99B/EbmH42l3FJCZAApkLBqHrJLItf8qwhKZFf8h3NhVPfzvcSElOmdsC8miT916hKbv2+PSpWuabFrwIXGLWt4FqnT5eKQIlIy/mehWqJmd1D3nQFSUM5NfjKcl08TWxPGY9zfwb8pA8ZCS1rRB8OHI1TXqwpESfQs0iCON9HEh3GsoyT1wt1gZLDo2wqk1BuU6LYnEk4J/wZok6TMTE0ess+tNldgErSnMoBaq/hh2Wll8yh+KCytLemYVT2gr/xbtsdTvZIKS2A7G052RtEYsrWV4yEgQVNkkdueMkaRXl3oU/fLyPdxaaEKZfvpIFxO8tqIZxjcwDsoS14szaCCUT7AZEiZ8GHrGkQbFNLoHDXeVJVcyFUaZue58sdOKAr0DgGDdv0K3X9yDJwVp43LLuC82UX4iBIE2WbkXCeMI9sv2Qa2zu8+Qa8zQ4mIMqSpNalVN4B2QPk1pKsiikIyjCtgGz9AcaR52g1EvM3W9SyR9dNVJU9RfsCRZFC58SUD46wZtml2c0/nKbKGi+kMmP75BttIUKPU5FXOttQqKVH91CPVxgInNmkSAK1cD7rHVKwu+AnZd48cG2YDxh+YW5QrHFWXbzUw5Dh+k745eHhUA0fmi+JLrrUDFghV6AtR5yl9SvAanUBHSDgxKvqpRWoBb2WhANhoEB6fta3+TX0hGuf9xn2g9PuxLaW1cEDzxPObWfZfzurid7NcAp+968trHjRdGDuR0bIfLaSqKtl583ZubKak3xuMIdDYwwQoOOjqKDE5U22x5f4801kFjic2Q0/gIVnsW7s8vTgBipmlyVCP/LxzN1ISyEQ9gZwf/PBzNPNlL5F3jQnsVJ2iMasA9GIADO02UOAXENbSgajHBF/gRsyX39Qb5T6bP+V87lk6gMLdDGHvScIZHfU0MYUCeNl1bLs+StU3dJco3pHdFSsA6xXU1MBpeAqOApNzBgMNYo11QaH2jLGQJ8BBZxrphyf4to//KmclGS6ln3kr4RTgJ92uXNnPE2N/BVc0U+pLBnFU1IE3b3wmqHNOT+ybHdPADIJhyNAyoph008thhTtofTwFuRubimb74NSLaPX9cgN74bSVgNXETfMBgHEu3tEGF+Fl3kVoF3OxPDbyzhcwOflJUUyfjGsx+7tihhTB8lNaYo2hUmdJybo4Q0NqQFsSxYHopoXh5Agk6wDDsKuu7Yr6+tT0VBBfmxbRC0VEvjQzmJ/mdi0YE35YTmYUFoECk5WVMBoXTuF4K0/d5g52mjsxKVPnGqbUNcZsluzHLg6mlNOEGOdq/eGETljq4dgoHvSaXwbpqqhQuHasf6WuI7dmHWYe3lSS5Tij8oEN0cVMXQBfoJ9gfMQiGq64LJk14+4td78J70roBDe5wezAWaHhvjrxUxFn5GSN2Abq6ioIXEsqPUdRznhiQun/cwAVT4zp95tatpluUmZFC/oEm8ArjUa/qHNPmIk7A8DYqph91mWY4xldlk5FYBg58VZJYDKLi1VLakBfUKGWB0VxJ1CajnxLApeXOgC+y5xDAk+WL/uc4MjDaOYczVTeWzUO44KJYryTdJoFhPP20zTojYtpcqHPQdVJAitC+yzuiaoKa67VRiJEsFu7E8dy24gphHbM8HYSXslJljr0J0sm1B8owJGKWZpyqDzUE4sK7b19Bk8b1Y323OyKh0qPiYTvXjYLVJi19oK8+szqs3uX/woOymjYwExvVQq+pGZN+GEsTVmTZtV2pe6m7+XgNVsQhCrPHYkGY+/06x2JBE1uw1YgeeyDfurMifX6z1KUy+3bVMFrn/2gYxltw4WC3GH5iZJjYfsQHSumaoFmuR8vkkq32OelOXMgrGGMb8TdyOjf+ToHbLIibKYPsDgYQonHHAFjOOR3yq+BOMp9prScLhFlR33igkyiQARp1PmANiJIi7MVSudU0IsTZRw1EFZBN7iCPbTlNXiWQW5o14ifH8qEn5xOoudbou+PedLPbDqxcmGp58z1EjIfmrcvGCdU/THZ7d18YRtfbUwbzWQC9ZEBw9qXNjJXcaExSfr3tYFCAUtcWCQjBrC4wgxGZjeGpZtl8D6gJKFBTAyuov91OSeNL84vITmkVW9XHJMpkkPQUeLsW2dWee7QaX++rGLZAlCiINaDt4rEYW/YfwVvBtFkRk1WNKrOviP6AwWkdjoBVXjEkfyxNsCP9dyWvspAN/Ku20/kvYeYj0AszYhg4MzAMMUTPEo6/ySIwfZcOqtzhPqsF6nCdE/JOjmBi/Fr45HOYxSYaujhQnAesP51lKBr2c0T6Xit69hbiB641aebZlsImG+RVRwRPllLIxSbqtBQDziiJg0WF6GXL7Ait/oO/DSKLZXvBrhTVS8us8N/9J2vyQDix/sGddLGmi6xwyVczx52EwFdvx3BHvm+Me5VPrphJ+5JWTUdOjI4eOpJnP4ow8dl3+ISuQ/lMRywHC+z6hla58On7ovH960UHJ2wmUonFDotp7VdhY8kQHqC1Vd8A3FTn659oAYIwjo9qrTtaLpBhw5leNaDZFthOrjdBBMG+Bos3CACXEsys0yI60PzOapbCKRajveh29IHwOqWva3LqjOsyeJUgz9q868KMC1nw2zXLLaXlnkJjgwd5FAxUsPFU1GkV3OGStmsiVZs50tulJLcI0Knhltxl2sf3jXXLevaTlpR0FlmsOHHZnypvjOe++VkAIxToLlFV/rNF0JscKkynfT6vTpFBTGVtpmHSNY2SM6h9qghApL00gBN4Mh/x+3pru9kSUy4qFcj26yUag7aaQSsbPQqRzvD1h678wyAvjr/WGM1NRIyZEV9BvhCLbbQy7gv2HGe0aLcwotJPQ5Q/tf9Kb427SZk5q6GJs/s8V/A3KTAL3YxShG3tTKgxO8dW7sgqRpOOATdySv4dXJcNWIE5MjhNoM4YOj+elKGBEXYh/jo2g2HSs96QW3TE8mAlhff/LwGCfu2DCsd2fEF7ubzxbYvktQCqhNdstI910KRbITKPlUUSQ1hXrRBDmWk9RMaASf7qjeB5RAnE/ZQMBWD3gBr30VZoM4mJhmXcFAR2rb6PXF2ohadT/821qk3niD6GnXQWMg/hIHVN4iw3qqlSqjcjud0uzYuXADMXvDzieasBMYKnbDe7fdMW1OfG8OpdavDE3nc/Utj1IUk/KemmkVxtzp23PQmt9XsZLq71Q6Fy88PYdYRe8AF4QMpESJcTw9Q/apawetT6F45HxBvvxJ8xCkV09wcWHQ3QWFcz+t5W+vH07lT09tiwZ4PYEIfDh3Cc7XtCfY9K2jWWG5XLEFE+6PQgG3LyXTFCu4SqnhEhcowWHWvksSX5yXPYAcMlVcXFuLbyGJP8a187UAyVKXbzuxjpugmshb0BU1fkY+F9+j01miYfljetqWrlx1CajqF8/utedAkHR1ymhFFMhz1UMvk5S1Kz1oLi9O3PeEHt4wlwGXnZWIg9LvVBIBwgBvKGiDBELJG1VYi5I4svhK+7l2zk0p4kr1PqIjw5MDf+Xg7awOr5BWkF5u7wmdW7UpUhZMeZdcFINVdBy3YOvuo9xFyOesmiISkuhpudE1MY5nAx2cGw8D6IgswCzf+14+KOREZ6WDPGuqaWIae0kSwwBhc6par9pjaJdPsJkUFirLnHqad9zPdUBG0GdJw+m2AhtiGquRP/HxqbUd8eeYJHf9qx1D5oKVViZbwojgRVcBMrDIyAl+oBoTlVsOK13h2eVuFR71RbrepkFa8wM8YrT5tRNIKnWubMJx7VYJOhMvjeCKzxmmvZFHVtmEcANNn10BqO//XH7bNlfuqMVZDZXTXdyHFhi3EJgGyusDQEyjyeTmBZfkLdLnLB4yp4aB39hEe5wxBwChUPnbpC9otGou4w6NZPVLQerNm/I9+NHe4f+m+GQ5oZ4Zv4c4Iyyf01jfVbq2hQLiYP4rzLligXk3cNrxDkouZn+WZmU7GTuq4kJRkyeJ3vN38te4EE8N1qTfLUMjUW5sPJzz9IGOHmBuftj1mjPVyi1E/u40yTlgUMPeaTSYoY4Plj74pwrgYOTtV2Z/lJlSEP78ifHKY+VjUPOhj33tEmaQ22uNJwQ6nOrydGpMKaUq94hEr/i8cAyF/MndjTCt5Ny9mKeWtqGkaMaMPp7RC5E5/QM4I7Uda6xTI1gOGQxJR9leYff3yI+9WUxNLjRcTZjNIUpK1SU6kCat/UGYhwIvg4ct3stRf67QfeUrAGSS8pqQAASJLqqrZ5H9pw429Ymbgbf/fkncgVw1B4OkUGQC5DZpvLS0Rr807bi2LX3c7rEZNxwEjRKVdgZ18JfB0sYzsEAfJo2Mm7Y2f68sAsD0ihRvMv9S4eFcltKYpTJr0+m9yjloOQYRett+GEEwwSK+UEbWrF9K4rJA/Gk2I2ybFThUhHtOVP/xffYpeMD/P75uE/M6rC1ZaLdh1INu4k2y+XeJ1uJCGs7JQGahbhVTM9i8+zZHSSypwcGrZ4vLws4iwNsHWMoAAA="" width=""50"">",Vinicius Junior,Extremo izquierdo,Brasil,24,Real Madrid CF,"150,00 mill. €","200,00 mill. €","33,3 %","+50,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Pau Cubarsí,Defensa central,España,17,FC Barcelona,"1,50 mill. €","40,00 mill. €","2566,7 %","+38,50 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Fermín López,Mediocentro,España,21,FC Barcelona,"15,00 mill. €","50,00 mill. €","233,3 %","+35,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Federico Valverde,Mediocentro,Uruguay,26,Real Madrid CF,"100,00 mill. €","130,00 mill. €","30,0 %","+30,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Arda Güler,Extremo derecho,Turquía,19,Real Madrid CF,"15,00 mill. €","45,00 mill. €","200,0 %","+30,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Álex Baena,Extremo izquierdo,España,23,Villarreal CF,"25,00 mill. €","50,00 mill. €","100,0 %","+25,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Nico Williams,Extremo izquierdo,España,22,Athletic Club,"50,00 mill. €","70,00 mill. €","40,0 %","+20,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Brahim Díaz,Mediocentro ofensivo,Marruecos,25,Real Madrid CF,"20,00 mill. €","40,00 mill. €","100,0 %","+20,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Cristhian Mosquera,Defensa central,España,20,Valencia CF,"10,00 mill. €","30,00 mill. €","200,0 %","+20,00 mill. €"
