Nombre,Posición,Nacionalidad,Edad,Equipo,Valor de Mercado en 01/01/2024,Valor de Mercado Actual,Incremento (%),Incremento (€)
Aleksandar Pavlovic,Pivote,Alemania/Serbia,20,Bayern Múnich,2.00 mill.,50.00 mill.,2400.0,+48.00 mill.
Florian Wirtz,Mediocentro ofensivo,Alemania,21,Bayer 04 Leverkusen,100.00 mill.,130.00 mill.,30.0,+30.00 mill.
Omar Marmoush,Delantero centro,Egipto/Canadá,25,Eintracht Fráncfort​​,15.00 mill.,40.00 mill.,166.7,+25.00 mill.
Jamal Musiala,Mediocentro ofensivo,Alemania/Inglaterra,21,Bayern Múnich,110.00 mill.,130.00 mill.,18.2,+20.00 mill.
Benjamin Sesko,Delantero centro,Eslovenia,21,RB Leipzig,30.00 mill.,50.00 mill.,66.7,+20.00 mill.
Maximilian Beier,Delantero centro,Alemania,22,Borussia Dortmund,12.00 mill.,30.00 mill.,150.0,+18.00 mill.
Josip Stanisic,Lateral derecho,Croacia/Alemania,24,Bayern Múnich,10.00 mill.,28.00 mill.,180.0,+18.00 mill.
Enzo Millot,Mediocentro ofensivo,Francia/Martinica,22,VfB Stuttgart,25.00 mill.,42.00 mill.,68.0,+17.00 mill.
Michael Olise,Extremo derecho,Francia/Inglaterra,22,Bayern Múnich,50.00 mill.,65.00 mill.,30.0,+15.00 mill.
Hugo Ekitiké,Delantero centro,Francia/Camerún,22,Eintracht Fráncfort​​,15.00 mill.,30.00 mill.,100.0,+15.00 mill.
Angelo Stiller,Pivote,Alemania,23,VfB Stuttgart,14.00 mill.,28.00 mill.,100.0,+14.00 mill.
Waldemar Anton,Defensa central,Alemania,28,Borussia Dortmund,10.00 mill.,24.00 mill.,140.0,+14.00 mill.
Yan Couto,Lateral derecho,Brasil/Portugal,22,Borussia Dortmund,12.00 mill.,25.00 mill.,108.3,+13.00 mill.
Maximilian Mittelstädt,Lateral izquierdo,Alemania,27,VfB Stuttgart,5.00 mill.,17.00 mill.,240.0,+12.00 mill.
Paul Wanner,Mediocentro ofensivo,Alemania/Austria,18,1.FC Heidenheim 1846,3.50 mill.,15.00 mill.,328.6,+11.50 mill.
Deniz Undav,Delantero centro,Alemania/Turquía,28,VfB Stuttgart,17.00 mill.,28.00 mill.,64.7,+11.00 mill.
