Jugador,Nombre,Posición,Nacionalidad,Edad,Equipo,Valor de Mercado en 01/01/2024,Valor de Mercado Actual,Incremento (%),Incremento (€)
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/792380-1727098078.jpg?lm=1"" width=""50"">",Aleksandar Pavlovic,Pivote,Alemania/Serbia,20,Bayern Múnich,2.00 mill. €,50.00 mill. €,2400.0%,+48.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/598577-1689710503.jpg?lm=1"" width=""50"">",Florian Wirtz,Mediocentro ofensivo,Alemania,21,Bayer 04 Leverkusen,100.00 mill. €,130.00 mill. €,30.0%,+30.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/445939-1696508916.jpg?lm=1"" width=""50"">",Omar Marmoush,Delantero centro,Egipto/Canadá,25,Eintracht Fráncfort​​,15.00 mill. €,40.00 mill. €,166.7%,+25.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/580195-1711745441.jpg?lm=1"" width=""50"">",Jamal Musiala,Mediocentro ofensivo,Alemania/Inglaterra,21,Bayern Múnich,110.00 mill. €,130.00 mill. €,18.2%,+20.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/627442-1713897956.jpg?lm=1"" width=""50"">",Benjamin Sesko,Delantero centro,Eslovenia,21,RB Leipzig,30.00 mill. €,50.00 mill. €,66.7%,+20.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/578392-1730574739.jpg?lm=1"" width=""50"">",Maximilian Beier,Delantero centro,Alemania,22,Borussia Dortmund,12.00 mill. €,30.00 mill. €,150.0%,+18.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/483046-1716966862.jpg?lm=1"" width=""50"">",Josip Stanisic,Lateral derecho,Croacia/Alemania,24,Bayern Múnich,10.00 mill. €,28.00 mill. €,180.0%,+18.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/569366-1723707547.jpg?lm=1"" width=""50"">",Enzo Millot,Mediocentro ofensivo,Francia/Martinica,22,VfB Stuttgart,25.00 mill. €,42.00 mill. €,68.0%,+17.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/566723-1725873883.jpg?lm=1"" width=""50"">",Michael Olise,Extremo derecho,Francia/Inglaterra,22,Bayern Múnich,50.00 mill. €,65.00 mill. €,30.0%,+15.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/709726-1724772213.jpg?lm=1"" width=""50"">",Hugo Ekitiké,Delantero centro,Francia/Camerún,22,Eintracht Fráncfort​​,15.00 mill. €,30.00 mill. €,100.0%,+15.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/443710-1723707618.jpg?lm=1"" width=""50"">",Angelo Stiller,Pivote,Alemania,23,VfB Stuttgart,14.00 mill. €,28.00 mill. €,100.0%,+14.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/193004-1723922551.jpg?lm=1"" width=""50"">",Waldemar Anton,Defensa central,Alemania,28,Borussia Dortmund,10.00 mill. €,24.00 mill. €,140.0%,+14.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/627228-1723922216.jpg?lm=1"" width=""50"">",Yan Couto,Lateral derecho,Brasil/Portugal,22,Borussia Dortmund,12.00 mill. €,25.00 mill. €,108.3%,+13.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/282660-1723707584.jpg?lm=1"" width=""50"">",Maximilian Mittelstädt,Lateral izquierdo,Alemania,27,VfB Stuttgart,5.00 mill. €,17.00 mill. €,240.0%,+12.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/900909-1661800800.jpg?lm=1"" width=""50"">",Paul Wanner,Mediocentro ofensivo,Alemania/Austria,18,1.FC Heidenheim 1846,3.50 mill. €,15.00 mill. €,328.6%,+11.50 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/339314-1691999036.jpg?lm=1"" width=""50"">",Deniz Undav,Delantero centro,Alemania/Turquía,28,VfB Stuttgart,17.00 mill. €,28.00 mill. €,64.7%,+11.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/919515-1727378177.jpg?lm=1"" width=""50"">",Jeanuël Belocian,Defensa central,Francia/Guadalupe,19,Bayer 04 Leverkusen,9.00 mill. €,20.00 mill. €,122.2%,+11.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/566931-1729778226.jpg?lm=1"" width=""50"">",Xavi Simons,Mediocentro ofensivo,Países Bajos/Surinam,21,RB Leipzig,70.00 mill. €,80.00 mill. €,14.3%,+10.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/193082-1689710805.jpg?lm=1"" width=""50"">",Alejandro Grimaldo,Lateral izquierdo,España,29,Bayer 04 Leverkusen,35.00 mill. €,45.00 mill. €,28.6%,+10.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/518505-1691999306.jpg?lm=1"" width=""50"">",Jamie Leweling,Extremo derecho,Alemania/Ghana,23,VfB Stuttgart,4.50 mill. €,13.00 mill. €,188.9%,+8.50 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/353892-1657181215.jpg?lm=1"" width=""50"">",Hiroki Ito,Defensa central,Japón,25,Bayern Múnich,22.00 mill. €,30.00 mill. €,36.4%,+8.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/335457-1723707508.jpg?lm=1"" width=""50"">",Ermedin Demirovic,Delantero centro,Bosnia y Herzegovina,26,VfB Stuttgart,20.00 mill. €,28.00 mill. €,40.0%,+8.00 mill.
"<img src=""https://img.a.transfermarkt.technology/portrait/medium/318204-1713945422.jpg?lm=1"" width=""50"">",David Raum,Lateral izquierdo,Alemania,26,RB Leipzig,17.00 mill. €,25.00 mill. €,47.1%,+8.00 mill.
